episode,seed,avg_waiting_time,max_queue_length,total_throughput,avg_speed,tripinfo_mean_waiting_time,tripinfo_mean_duration,tripinfo_mean_time_loss
0,0,4.448887129591013,8,676,8.153164388585,11.560650887573965,47.26183431952663,16.871686390532563
1,1,4.437986454907398,8,676,8.202524006494432,11.516272189349113,47.07544378698225,16.838446745562127
2,2,4.523170770899619,8,676,8.135257993394495,11.721893491124261,47.44970414201183,17.04659763313609
3,3,4.544396955718038,8,676,8.131737155361849,11.778106508875739,47.33431952662722,17.141065088757383
4,4,4.549478312949186,8,676,8.166969181668831,11.72337278106509,47.12130177514793,17.053742603550294
5,5,4.550442077955948,8,676,8.13897897100191,11.600591715976332,47.22781065088758,16.991153846153818
6,6,4.574777160734165,9,676,8.161378024951546,11.56360946745562,47.02958579881657,16.84143491124261
7,7,4.418922969079002,8,676,8.195275666960804,11.434911242603551,46.90680473372781,16.668269230769226
8,8,4.466458069977487,8,676,8.187069315549339,11.532544378698224,47.053254437869825,16.80406804733727
9,9,4.511782784945059,8,676,8.167031909584175,11.613905325443787,47.082840236686394,16.907366863905327
10,10,4.504359129081736,8,676,8.17776998246892,11.622781065088757,47.03698224852071,16.900147928994073
11,11,4.545437468218329,8,676,8.172250570638166,11.7603550295858,47.25739644970414,17.122795857988162
12,12,4.473764529121672,8,676,8.192261482209547,11.581360946745562,47.062130177514796,16.85460059171598
13,13,4.58267942952409,8,676,8.118876795005525,11.810650887573965,47.57248520710059,17.15504437869823
14,14,4.395227995921478,8,676,8.19140376347368,11.461538461538462,47.014792899408285,16.73955621301776
15,15,4.555655113110037,8,676,8.136599757631483,11.662721893491124,47.22041420118343,16.99920118343194
16,16,4.7155771990376705,9,676,8.10694239685105,11.931952662721894,47.4585798816568,17.280162721893483
17,17,4.602288026351827,8,676,8.142823700912041,11.877218934911243,47.39792899408284,17.250843195266288
18,18,4.534629421279907,8,676,8.140614017714705,11.767751479289942,47.31656804733728,17.115133136094666
19,19,4.484960341323032,8,676,8.14948200722131,11.606508875739644,47.34319526627219,16.913698224852077
20,20,4.394244700052606,8,676,8.200423157341959,11.465976331360947,46.98224852071006,16.759778106508865
21,21,4.4837636319605805,8,676,8.178394278192336,11.594674556213018,47.21597633136095,16.858816568047327
22,22,4.523254230743829,8,676,8.204522858881074,11.554733727810651,46.896449704142015,16.804852071005946
23,23,4.488990551750606,9,676,8.133169998605815,11.618343195266272,47.29585798816568,16.88525147928995
24,24,4.610993785456338,8,676,8.135427945658174,11.809171597633137,47.31508875739645,17.1305029585799
25,25,4.5072264959574255,8,676,8.173273384148333,11.689349112426035,47.205621301775146,16.968934911242584
26,26,4.5804002901090275,8,676,8.157818646662214,11.744082840236686,47.264792899408285,17.086050295857973
27,27,4.575151064454116,8,676,8.158060852954614,11.69378698224852,47.18639053254438,16.980133136094672
28,28,4.531640350711086,8,676,8.166300078398963,11.724852071005918,47.17751479289941,17.02047337278108
29,29,4.556543899158323,8,676,8.147655489302718,11.673076923076923,47.27218934911242,16.96781065088758
