sim_time,phase
0.0,0
5.0,0
10.0,0
15.0,0
20.0,0
25.0,1
30.0,1
35.0,1
40.0,0
45.0,0
50.0,0
55.0,0
60.0,0
65.0,1
70.0,1
75.0,1
80.0,0
85.0,0
90.0,0
95.0,0
100.0,0
105.0,1
110.0,1
115.0,1
120.0,0
125.0,0
130.0,0
135.0,0
140.0,1
145.0,1
150.0,1
155.0,0
160.0,0
165.0,0
170.0,0
175.0,0
180.0,1
185.0,1
190.0,1
195.0,0
200.0,0
205.0,0
210.0,0
215.0,0
220.0,1
225.0,1
230.0,1
235.0,0
240.0,0
245.0,0
250.0,0
255.0,0
260.0,1
265.0,1
270.0,1
275.0,0
280.0,0
285.0,0
290.0,0
295.0,1
300.0,1
305.0,1
310.0,0
315.0,0
320.0,0
325.0,0
330.0,0
335.0,1
340.0,1
345.0,1
350.0,0
355.0,0
360.0,0
365.0,0
370.0,0
375.0,1
380.0,1
385.0,1
390.0,0
395.0,0
400.0,0
405.0,0
410.0,0
415.0,1
420.0,1
425.0,1
430.0,0
435.0,0
440.0,0
445.0,0
450.0,1
455.0,1
460.0,1
465.0,0
470.0,0
475.0,0
480.0,0
485.0,0
490.0,1
495.0,1
500.0,1
505.0,0
510.0,0
515.0,0
520.0,0
525.0,0
530.0,1
535.0,1
540.0,1
545.0,0
550.0,0
555.0,0
560.0,0
565.0,0
570.0,1
575.0,1
580.0,1
585.0,0
590.0,0
595.0,0
600.0,0
605.0,1
610.0,1
615.0,1
620.0,0
625.0,0
630.0,0
635.0,0
640.0,0
645.0,1
650.0,1
655.0,1
660.0,0
665.0,0
670.0,0
675.0,0
680.0,0
685.0,1
690.0,1
695.0,1
700.0,0
705.0,0
710.0,0
715.0,0
720.0,1
725.0,1
730.0,1
735.0,0
740.0,0
745.0,0
750.0,0
755.0,0
760.0,1
765.0,1
770.0,1
775.0,0
780.0,0
785.0,0
790.0,0
795.0,0
800.0,1
805.0,1
810.0,1
815.0,0
820.0,0
825.0,0
830.0,0
835.0,0
840.0,1
845.0,1
850.0,1
855.0,0
860.0,0
865.0,0
870.0,0
875.0,0
880.0,1
885.0,1
890.0,1
895.0,0
900.0,0
905.0,0
910.0,0
915.0,1
920.0,1
925.0,1
930.0,0
935.0,0
940.0,0
945.0,0
950.0,0
955.0,1
960.0,1
965.0,1
970.0,0
975.0,0
980.0,0
985.0,0
990.0,0
995.0,1
1000.0,1
1005.0,1
1010.0,0
1015.0,0
1020.0,0
1025.0,0
1030.0,0
1035.0,1
1040.0,1
1045.0,1
1050.0,0
1055.0,0
1060.0,0
1065.0,0
1070.0,1
1075.0,1
1080.0,1
1085.0,0
1090.0,0
1095.0,0
1100.0,0
1105.0,0
1110.0,1
1115.0,1
1120.0,1
1125.0,0
1130.0,0
1135.0,0
1140.0,0
1145.0,0
1150.0,1
1155.0,1
1160.0,1
1165.0,0
1170.0,0
1175.0,0
1180.0,0
1185.0,0
1190.0,1
1195.0,1
1200.0,1
1205.0,0
1210.0,0
1215.0,0
1220.0,0
1225.0,0
1230.0,1
1235.0,1
1240.0,1
1245.0,0
1250.0,0
1255.0,0
1260.0,0
1265.0,1
1270.0,1
1275.0,1
1280.0,0
1285.0,0
1290.0,0
1295.0,0
1300.0,1
1305.0,1
1310.0,1
1315.0,1
1320.0,0
1325.0,0
1330.0,0
1335.0,0
1340.0,0
1345.0,1
1350.0,1
1355.0,1
1360.0,0
1365.0,0
1370.0,0
1375.0,0
1380.0,1
1385.0,1
1390.0,1
1395.0,0
1400.0,0
1405.0,0
1410.0,0
1415.0,0
1420.0,1
1425.0,1
1430.0,1
1435.0,0
1440.0,0
1445.0,0
1450.0,0
1455.0,0
1460.0,1
1465.0,1
1470.0,1
1475.0,0
1480.0,0
1485.0,0
1490.0,0
1495.0,0
1500.0,1
1505.0,1
1510.0,1
1515.0,0
1520.0,0
1525.0,0
1530.0,0
1535.0,1
1540.0,1
1545.0,1
1550.0,0
1555.0,0
1560.0,0
1565.0,0
1570.0,0
1575.0,1
1580.0,1
1585.0,1
1590.0,0
1595.0,0
1600.0,0
1605.0,0
1610.0,0
1615.0,1
1620.0,1
1625.0,1
1630.0,0
1635.0,0
1640.0,0
1645.0,0
1650.0,1
1655.0,1
1660.0,1
1665.0,0
1670.0,0
1675.0,0
1680.0,0
1685.0,0
1690.0,1
1695.0,1
1700.0,1
1705.0,0
1710.0,0
1715.0,0
1720.0,0
1725.0,0
1730.0,1
1735.0,1
1740.0,1
1745.0,0
1750.0,0
1755.0,0
1760.0,0
1765.0,0
1770.0,1
1775.0,1
1780.0,1
1785.0,0
1790.0,0
1795.0,0
1800.0,0
1805.0,1
1810.0,1
1815.0,1
1820.0,0
1825.0,0
1830.0,0
1835.0,0
1840.0,0
1845.0,1
1850.0,1
1855.0,1
1860.0,0
1865.0,0
1870.0,0
1875.0,0
1880.0,0
1885.0,1
1890.0,1
1895.0,1
1900.0,0
1905.0,0
1910.0,0
1915.0,0
1920.0,0
1925.0,1
1930.0,1
1935.0,1
1940.0,0
1945.0,0
1950.0,0
1955.0,0
1960.0,0
1965.0,1
1970.0,1
1975.0,1
1980.0,0
1985.0,0
1990.0,0
1995.0,0
2000.0,1
2005.0,1
2010.0,1
2015.0,0
2020.0,0
2025.0,0
2030.0,0
2035.0,0
2040.0,1
2045.0,1
2050.0,1
2055.0,0
2060.0,0
2065.0,0
2070.0,0
2075.0,1
2080.0,1
2085.0,1
2090.0,0
2095.0,0
2100.0,0
2105.0,0
2110.0,0
2115.0,1
2120.0,1
2125.0,1
2130.0,0
2135.0,0
2140.0,0
2145.0,0
2150.0,0
2155.0,1
2160.0,1
2165.0,1
2170.0,0
2175.0,0
2180.0,0
2185.0,0
2190.0,0
2195.0,1
2200.0,1
2205.0,1
2210.0,0
2215.0,0
2220.0,0
2225.0,0
2230.0,0
2235.0,1
2240.0,1
2245.0,1
2250.0,0
2255.0,0
2260.0,0
2265.0,0
2270.0,0
2275.0,1
2280.0,1
2285.0,1
2290.0,1
2295.0,0
2300.0,0
2305.0,0
2310.0,1
2315.0,1
2320.0,1
2325.0,0
2330.0,0
2335.0,0
2340.0,0
2345.0,0
2350.0,1
2355.0,1
2360.0,1
2365.0,0
2370.0,0
2375.0,0
2380.0,0
2385.0,1
2390.0,1
2395.0,1
2400.0,0
2405.0,0
2410.0,0
2415.0,0
2420.0,0
2425.0,1
2430.0,1
2435.0,1
2440.0,0
2445.0,0
2450.0,0
2455.0,0
2460.0,0
2465.0,1
2470.0,1
2475.0,1
2480.0,0
2485.0,0
2490.0,0
2495.0,0
2500.0,0
2505.0,1
2510.0,1
2515.0,1
2520.0,0
2525.0,0
2530.0,0
2535.0,0
2540.0,0
2545.0,1
2550.0,1
2555.0,1
2560.0,0
2565.0,0
2570.0,0
2575.0,0
2580.0,1
2585.0,1
2590.0,1
2595.0,0
2600.0,0
2605.0,0
2610.0,0
2615.0,0
2620.0,1
2625.0,1
2630.0,1
2635.0,0
2640.0,0
2645.0,0
2650.0,0
2655.0,0
2660.0,1
2665.0,1
2670.0,1
2675.0,0
2680.0,0
2685.0,0
2690.0,0
2695.0,1
2700.0,1
2705.0,1
2710.0,0
2715.0,0
2720.0,0
2725.0,0
2730.0,0
2735.0,1
2740.0,1
2745.0,1
2750.0,0
2755.0,0
2760.0,0
2765.0,0
2770.0,0
2775.0,1
2780.0,1
2785.0,1
2790.0,0
2795.0,0
2800.0,0
2805.0,0
2810.0,0
2815.0,1
2820.0,1
2825.0,1
2830.0,0
2835.0,0
2840.0,0
2845.0,0
2850.0,1
2855.0,1
2860.0,1
2865.0,0
2870.0,0
2875.0,0
2880.0,0
2885.0,0
2890.0,1
2895.0,1
2900.0,1
2905.0,0
2910.0,0
2915.0,0
2920.0,0
2925.0,0
2930.0,1
2935.0,1
2940.0,1
2945.0,0
2950.0,0
2955.0,0
2960.0,0
2965.0,1
2970.0,1
2975.0,1
2980.0,0
2985.0,0
2990.0,0
2995.0,0
3000.0,0
3005.0,1
3010.0,1
3015.0,1
3020.0,0
3025.0,0
3030.0,0
3035.0,0
3040.0,0
3045.0,1
3050.0,1
3055.0,1
3060.0,0
3065.0,0
3070.0,0
3075.0,1
3080.0,1
3085.0,1
3090.0,0
3095.0,0
3100.0,0
3105.0,0
3110.0,0
3115.0,0
3120.0,1
3125.0,1
3130.0,1
3135.0,0
3140.0,0
3145.0,0
3150.0,0
3155.0,0
3160.0,1
3165.0,1
3170.0,1
3175.0,0
3180.0,0
3185.0,0
3190.0,0
3195.0,0
3200.0,1
3205.0,1
3210.0,1
3215.0,0
3220.0,0
3225.0,0
3230.0,0
3235.0,0
3240.0,1
3245.0,1
3250.0,1
3255.0,0
3260.0,0
3265.0,0
3270.0,0
3275.0,1
3280.0,1
3285.0,1
3290.0,0
3295.0,0
3300.0,0
3305.0,0
3310.0,0
3315.0,1
3320.0,1
3325.0,1
3330.0,0
3335.0,0
3340.0,0
3345.0,0
3350.0,0
3355.0,1
3360.0,1
3365.0,1
3370.0,0
3375.0,0
3380.0,0
3385.0,0
3390.0,0
3395.0,1
3400.0,1
3405.0,1
3410.0,0
3415.0,0
3420.0,0
3425.0,0
3430.0,1
3435.0,1
3440.0,1
3445.0,0
3450.0,0
3455.0,0
3460.0,0
3465.0,0
3470.0,1
3475.0,1
3480.0,1
3485.0,0
3490.0,0
3495.0,0
3500.0,0
3505.0,0
3510.0,1
3515.0,1
3520.0,1
3525.0,0
3530.0,0
3535.0,0
3540.0,0
3545.0,1
3550.0,1
3555.0,1
3560.0,0
3565.0,0
3570.0,0
3575.0,0
3580.0,0
3585.0,1
3590.0,1
3595.0,1
